Sex,Length,Diameter,Height,Whole_Weight,Shucked_Weight,Viscera_Weight,Shell_Weight,Rings,Age
I,82,61,18,70.7,31.4,14.899999999999999,20,7,8.5
I,82,62,18,66.7,32.7,12.2,18.2,6,7.5
I,83,66,18,71.89999999999999,34,16.2,18,6,7.5
I,84,64,23,75.2,33.800000000000004,18.4,20,5,6.5
I,84,63,20,68.7,31.4,15.9,18,6,7.5
I,85,68,20,76.4,32.800000000000004,19.2,20,6,7.5
I,85,63,20,75.4,32.9,14.399999999999999,21,6,7.5
I,86,65,20,72.89999999999999,31.5,16.5,21,7,8.5
I,86,65,18,85,43.4,17.4,19,7,8.5
I,87,65,24,79.9,36.3,12.2,22.5,8,9.5
I,87,68,23,78.5,36.5,15.6,22.900000000000002,6,7.5
I,88,69,26,89.9,41.8,16.7,26.8,6,7.5
I,88,65,18,70,29.599999999999998,13.4,21,7,8.5
F,89,67,22,87.1,40.5,21.9,23.9,6,7.5
I,89,70,26,83.89999999999999,33.900000000000006,18.9,23.9,7,8.5
I,90,72,26,95.6,38.2,25.4,27.400000000000002,7,8.5
I,90,71,21,88.9,39.4,18.6,26.700000000000003,8,9.5
I,90,69,22,94,47.099999999999994,17.1,22.7,7,8.5
I,90,67,21,89.4,46.7,30.599999999999998,23.799999999999997,7,8.5
I,91,71,25,106.5,45,25.2,29.299999999999997,7,8.5
I,91,75,24,99.4,47.099999999999994,21.099999999999998,25.900000000000002,6,7.5
I,92,72,20,92.7,46.5,18.6,23,7,8.5
I,92,69,21,89.8,39.2,18.9,25.3,7,8.5
I,93,73,23,93.4,46.300000000000004,18.5,22.6,7,8.5
I,93,74,23,106.80000000000001,52.2,19.6,28.599999999999998,7,8.5
I,93,69,22,88.3,35.099999999999994,18.099999999999998,24,7,8.5
F,93,70,25,96.39999999999999,46,21.2,21.9,6,7.5
M,94,73,24,122.39999999999999,65.4,30,28.000000000000004,8,9.5
F,94,73,24,116.39999999999999,57.99999999999999,18.4,29.2,8,9.5
M,95,74,25,107.4,44.4,24.3,30,9,10.5
F,95,72,24,118.30000000000001,64.9,22,25.4,6,7.5
M,96,75,23,135.3,64.1,21.3,34,6,7.5
M,96,77,28.999999999999996,128,58.5,28.1,31.5,6,7.5
M,96,72,20,87.8,38.800000000000004,19.8,23,8,9.5
M,96,73,24,120.30000000000001,62.4,23.400000000000002,28.000000000000004,7,8.5
F,97,74,23,95.7,39.900000000000006,19.1,25.8,7,8.5
M,98,77,25,129.8,64,24.8,33.900000000000006,8,9.5
M,99,79,27,126.69999999999999,60.699999999999996,25.900000000000002,29.9,8,9.5
M,99,80,27,122,54.400000000000006,28.7,28.799999999999997,7,8.5
M,100,78,27,131.9,62.9,30.7,31.3,6,7.5
I,100,77,24,112.00000000000001,56.699999999999996,20.599999999999998,27,8,9.5
M,100,77,27,128.5,63.9,25.8,30.7,7,8.5
M,100,80,25,134.5,67.2,24,36.5,7,8.5
F,101,78,26,134.8,63.3,28.199999999999996,35.699999999999996,9,10.5
I,101,78,30,137,72.39999999999999,26.200000000000003,31.2,8,9.5
M,101,82,25,128.4,57.8,26.6,31,9,10.5
I,101,71,25,120.19999999999999,50,24.099999999999998,37,8,9.5
M,102,78,27,153.8,78.7,29.099999999999998,38,8,9.5
I,102,75,20,115.7,47.599999999999994,24.5,35,7,8.5
I,102,81,27,153.8,73.1,31.7,36,7,8.5
M,102,81,30,140.7,69.39999999999999,26.8,37.7,8,9.5
M,102,82,28.999999999999996,159.20000000000002,77.3,36.3,39.1,8,9.5
F,103,86,28.000000000000004,166.79999999999998,73.4,40,46,8,9.5
M,103,78,31,142.5,73.9,27.400000000000002,31,7,8.5
F,105,83,28.000000000000004,144.79999999999998,69.5,34.599999999999994,35,8,9.5
M,105,80,28.000000000000004,146.5,66.8,31.5,34,11,12.5
F,106,85,26,151.7,65,39.4,41,8,9.5
F,106,85,30,169.9,65.60000000000001,46.400000000000006,40.400000000000006,8,9.5
M,106,81,25,130.29999999999998,54.300000000000004,32.1,37.2,7,8.5
F,107,80,27,164.3,78.7,39.2,41,8,9.5
M,107,86,28.000000000000004,143.3,57.099999999999994,31.900000000000002,43.1,8,9.5
M,107,87,28.000000000000004,174.8,74.7,45.800000000000004,43.9,8,9.5
F,110.00000000000001,89,31,198.10000000000002,108.80000000000001,35.6,43.6,9,10.5
F,110.00000000000001,86,28.000000000000004,162.1,73.6,32.2,55.00000000000001,9,10.5
F,112.00000000000001,91,32,193.4,90.5,41.4,54.800000000000004,9,10.5
F,112.99999999999999,80,26,139.5,61.5,33.300000000000004,36,8,9.5
M,113.99999999999999,90,31,239,112.5,51.300000000000004,59,10,11.5
M,113.99999999999999,90,31,238.7,102.60000000000001,42,68.60000000000001,10,11.5
F,113.99999999999999,91,30,221.4,108,51,54,8,9.5
M,113.99999999999999,89,28.000000000000004,212.7,105.3,43.9,48,8,9.5
M,113.99999999999999,92,34,180.7,81.5,38.7,42.8,7,8.5
M,114.99999999999999,95,32,222.8,99.1,54.900000000000006,57.99999999999999,9,10.5
F,114.99999999999999,92,32,220.6,107.60000000000001,44.2,49.8,9,10.5
F,115.99999999999999,92,30,223.1,111.5,45.1,57.99999999999999,7,8.5
F,115.99999999999999,92,36,210.3,81.89999999999999,51.9,55.2,8,9.5
M,115.99999999999999,91,30,202.4,99.7,42.3,56.699999999999996,10,11.5
F,115.99999999999999,90,28.999999999999996,227.4,111.7,44,57.99999999999999,8,9.5
M,115.99999999999999,98,26,226.7,117.19999999999999,51.300000000000004,47.4,9,10.5
M,118,93,31,227.2,104.89999999999999,52.300000000000004,55.00000000000001,11,12.5
M,118,94,32,241.2,95.8,48.5,61.8,8,9.5
F,118,91,28.999999999999996,212.6,103.1,48.9,50,8,9.5
F,119,94,31,224.2,90.3,35.6,31,11,12.5
F,119,90,30,222.8,117.30000000000001,44.1,50,11,12.5
M,119,95,33,242.60000000000002,124.2,48.699999999999996,54.800000000000004,9,10.5
F,119,92,28.000000000000004,200.89999999999998,93.10000000000001,41.9,50.3,9,10.5
M,119,91,30,208.8,103.60000000000001,44.1,54,9,10.5
F,121,98,30,226.9,105.3,52.900000000000006,59,9,10.5
M,121,95,31,232.20000000000002,114.39999999999999,49.1,55.00000000000001,9,10.5
M,121,94,33,246.3,120.5,52.400000000000006,58.5,11,12.5
M,122,94,30,232.50000000000003,112.99999999999999,51.6,61.7,11,12.5
M,122,95,31,233.6,110.80000000000001,47.8,65.9,10,11.5
F,123,96,32,250.5,117,51.9,66,8,9.5
F,124,102,36,266.29999999999995,118.8,55.2,77.60000000000001,11,12.5
F,125,96,34,270.5,124.70000000000002,55.60000000000001,73,10,11.5
M,125,98,35,266.5,114.1,54.2,81,10,11.5
F,125,95,35,228.7,95.1,49.5,69.8,10,11.5
F,125,100,33,257.6,114.6,60.699999999999996,63,9,10.5
F,125,97,40,276,116.9,60.4,80.2,9,10.5
M,126,97,31,255.6,127.4,55.00000000000001,62,8,9.5
F,126,99,33,261.5,119.8,56.8,63,11,12.5
M,126,96,30,235.70000000000002,103.69999999999999,49.6,64.7,8,9.5
M,127,98,35,275,124.6,54.1,79,11,12.5
M,127,105,37,281.3,136.8,60,74.9,10,11.5
M,128,101,31,280.5,141,53.1,67,10,11.5
F,128,100,34,303.5,138.6,65.2,81.8,11,12.5
F,128,100,35,278.79999999999995,98.7,58.199999999999996,80,10,11.5
F,129,100,31,244.1,122.9,47.199999999999996,63.7,10,11.5
M,129,104,35,327.2,155.8,68.4,86.4,11,12.5
M,129,104,35,312.2,141.79999999999998,71.1,80,8,9.5
F,129,101,33,286.5,136.8,61.6,67.2,8,9.5
M,129,100,35,267.7,126.6,59.8,69.8,11,12.5
F,129,100,32,249.29999999999998,109.5,65.4,60,10,11.5
F,129,103,30,242.4,103,41.099999999999994,77,10,11.5
M,130,99,32,260.8,113.99999999999999,62.4,74.5,9,10.5
M,130,104,42,335.70000000000005,133.29999999999998,61.6,92,11,12.5
M,130,105,37,324.40000000000003,132.9,64.5,95.39999999999999,10,11.5
F,131,92,32,298.8,137.9,66.2,36.5,9,10.5
F,131,102,35,330.5,170.3,67.30000000000001,80.60000000000001,10,11.5
F,132,101,37,305.6,138,60.5,88.2,11,12.5
M,132,107,38,318.1,128.5,59.4,103.49999999999999,9,10.5
M,132,99,39,325.5,118.8,71.89999999999999,97,10,11.5
F,132,95,36,273.9,128.2,58.8,67,6,7.5
M,134,105,33,321.7,136.4,62.9,80.10000000000001,11,12.5
F,135,113.99999999999999,45,317.4,147.8,59.9,87,10,11.5
F,135,112.99999999999999,39,367.5,152.89999999999998,72.3,110.60000000000001,12,13.5
M,136,107,37,321.4,144.9,64.3,99.6,12,13.5
M,138,105,35,340.09999999999997,165.1,72.39999999999999,81,8,9.5
M,138,101,40,374.40000000000003,178.6,80.30000000000001,96,10,11.5
F,139,107,35,367.7,160.7,79.2,100.6,10,11.5
F,141,107,36,337,138.6,84,80.9,12,13.5
M,142,112.99999999999999,41,439.59999999999997,202.4,104.5,109.5,11,12.5
M,143,112.99999999999999,35,390.5,152.89999999999998,83.7,82.69999999999999,10,11.5
F,143,105,37,312,133.1,76.6,81,11,12.5
F,147,120,44,511.00000000000006,226.7,88,120,11,12.5
M,153,120,44,460.40000000000003,201.39999999999998,101.8,124.10000000000001,12,13.5
I,37,26,9,5.800000000000001,2.4,1.5,1.9,4,5.5
I,39,30,9,7.5,3.5999999999999996,1.2,2.1999999999999997,3,4.5
I,39,27,8,6.5,2.7,1,1.9,4,5.5
I,40,31,8,8.7,3.1,1.7999999999999998,1.4000000000000001,4,5.5
I,45,33,11,11.799999999999999,5.4,2.5,3,4,5.5
I,49,36,13,14.2,6,2.6,4.3,4,5.5
I,50,36,13,13.700000000000001,4.9,3.1,4.5,5,6.5
I,53,39,11,16.8,7.3,3.5000000000000004,5,7,8.5
I,55.00000000000001,39,13,21.2,10.8,4,5.6000000000000005,6,7.5
I,56.00000000000001,42,17,21.5,8.3,4.8,6.800000000000001,5,6.5
I,56.99999999999999,44,13,19.2,8.1,4.1000000000000005,6,5,6.5
I,60,44,16,25.1,11,5.3,7.8,6,7.5
I,63,47,11,30.2,13,5.4,7.8,6,7.5
I,64,45,17,28.299999999999997,13.5,5.8999999999999995,8.1,6,7.5
I,68,53,16,40.300000000000004,18,9.5,11,5,6.5
I,74,56.00000000000001,20,44.2,23.3,5.3,12.7,6,7.5
I,75,56.00000000000001,16,46.9,22.5,9.1,13.4,6,7.5
I,75,55.00000000000001,20,46.5,23.3,8.4,13,6,7.5
I,77,57.99999999999999,16,49.7,24.4,9.9,13,7,8.5
I,80,64,19,69.6,38.800000000000004,10.6,17.4,6,7.5
I,81,60,22,64,34.4,8.799999999999999,18.6,7,8.5
I,82,60,20,56.39999999999999,25.1,11.4,17.5,7,8.5
I,82,65,20,64.9,26.400000000000002,14.399999999999999,21.2,6,7.5
I,84,60,21,63.2,25.1,14.000000000000002,20.7,7,8.5
I,84,64,22,72.5,34.8,12.7,21,7,8.5
I,84,62,19,55.800000000000004,25.1,10.2,17.599999999999998,6,7.5
I,85,65,23,73.7,32.4,17.299999999999997,20.9,7,8.5
M,86,67,24,79.4,39.7,17.299999999999997,20.7,7,8.5
I,87,66,22,82.6,41.099999999999994,19.2,19.2,6,7.5
I,87,69,23,83.6,44.4,14.7,21.2,7,8.5
I,88,66,22,74.1,30.9,16.8,24,7,8.5
I,89,69,21,81.8,33.5,20.3,23.400000000000002,7,8.5
I,89,68,28.999999999999996,86.8,38.9,18.099999999999998,26,7,8.5
I,89,67,22,82.19999999999999,39.7,18.7,21.8,8,9.5
I,90,73,25,92.4,42.699999999999996,19.7,26.3,8,9.5
I,90,68,24,98.5,48.199999999999996,21.5,24,6,7.5
I,90,66,21,74.3,37.3,15.7,19.5,7,8.5
I,90,66,20,82.19999999999999,38.9,20,19.6,6,7.5
I,90,66,22,73.7,32,17.7,20.4,6,7.5
I,92,70,23,83.1,36,19.6,23.5,7,8.5
M,94,72,21,108.80000000000001,54,27.900000000000002,25.8,7,8.5
I,94,76,25,96.89999999999999,42.199999999999996,21.5,28.4,6,7.5
I,95,70,22,91.3,41.199999999999996,19.8,26,6,7.5
I,95,70,20,90.9,43.3,22.2,23,7,8.5
I,96,76,25,124.9,67.9,21.7,33.300000000000004,8,9.5
M,98,93,25,104.5,47,26,28.199999999999996,7,8.5
I,100,75,28.000000000000004,109.89999999999999,49.6,22.400000000000002,31.7,7,8.5
I,100,75,24,108.4,43,23.200000000000003,34,9,10.5
I,100,76,25,103.8,49.7,22.7,26.8,8,9.5
M,100,78,25,104.3,49.7,23.400000000000002,26.200000000000003,6,7.5
F,101,78,25,108.89999999999999,49.2,30,28.1,7,8.5
I,102,81,25,135.9,69.3,27.900000000000002,36.4,8,9.5
F,102,80,25,109.00000000000001,52.2,23,27.700000000000003,6,7.5
I,102,80,25,111.5,52.300000000000004,23.9,30.5,9,10.5
I,102,76,23,103.1,43,22.7,33.2,8,9.5
I,103,77,25,122.30000000000001,63.5,25.3,30,8,9.5
M,104,80,28.999999999999996,155.29999999999998,70.5,36.9,37,9,10.5
I,104,76,27,107.89999999999999,45.9,26.6,31.4,8,9.5
I,104,76,25,110.9,57.599999999999994,25.900000000000002,33.4,8,9.5
F,104,92,30,203.79999999999998,104.60000000000001,39.7,50.8,7,8.5
I,105,80,26,129.1,65,24.9,34,8,9.5
I,105,80,28.000000000000004,120.19999999999999,52.5,25.7,36.7,9,10.5
M,105,81,24,151.1,75.1,31.1,40.2,9,10.5
I,105,79,24,121.6,59.4,27.900000000000002,28.1,8,9.5
I,106,80,25,123.4,55.800000000000004,25.4,38,8,9.5
I,107,78,25,119.8,51.9,29.799999999999997,33.800000000000004,9,10.5
I,108,84,28.000000000000004,133.29999999999998,62.5,27.6,37.9,10,11.5
M,109.00000000000001,78,27,156.7,84.5,36.3,31.2,7,8.5
M,109.00000000000001,82,24,158.6,86.8,28.1,38,9,10.5
M,109.00000000000001,83,28.000000000000004,164,92.30000000000001,25.4,43.6,9,10.5
F,110.00000000000001,83,27,162.9,85.39999999999999,37.1,35,8,9.5
F,110.00000000000001,86,30,168,79,39,44.6,8,9.5
M,110.00000000000001,85,30,166.3,82.19999999999999,35.3,43.3,10,11.5
M,112.00000000000001,86,28.999999999999996,179.9,92.80000000000001,35.5,46.800000000000004,9,10.5
M,112.00000000000001,89,32,179.29999999999998,84,43.5,44.3,8,9.5
F,112.00000000000001,88,31,128.1,67.2,35.3,49,8,9.5
M,112.00000000000001,83,28.999999999999996,170.4,86,37.7,41,8,9.5
M,112.99999999999999,91,30,191.9,91.3,47.9,46,9,10.5
M,112.99999999999999,87,30,198,115.9,36.5,41.199999999999996,8,9.5
F,112.99999999999999,90,35,201.9,89.4,47.5,52.900000000000006,9,10.5
M,113.99999999999999,92,30,207.50000000000003,108.3,40.699999999999996,50,9,10.5
F,113.99999999999999,89,28.999999999999996,175.5,82.39999999999999,43.4,44,8,9.5
I,113.99999999999999,88,30,151,68.5,32,44.800000000000004,8,9.5
F,114.99999999999999,92,28.999999999999996,198.9,93.2,45.800000000000004,53,7,8.5
F,114.99999999999999,90,32,213.60000000000002,111.20000000000002,42.8,51.5,10,11.5
M,114.99999999999999,87,28.000000000000004,169.1,80.2,38.2,44.4,9,10.5
F,114.99999999999999,94,33,173.8,87,39.4,47.599999999999994,9,10.5
M,114.99999999999999,91,27,181.4,84.89999999999999,39.4,52,9,10.5
I,114.99999999999999,87,26,161,63.1,43.1,49,10,11.5
M,114.99999999999999,89,34,204.5,109.80000000000001,43.5,45.6,9,10.5
M,114.99999999999999,89,28.999999999999996,169.4,83,38.9,44,9,10.5
M,115.99999999999999,91,30,222.8,95.3,43.1,53,8,9.5
M,115.99999999999999,91,39,371.8,189,85.2,88.2,9,10.5
M,115.99999999999999,89,27,162.79999999999998,75.5,38.3,44,9,10.5
M,115.99999999999999,90,28.000000000000004,192.3,97.2,36.3,50.6,9,10.5
M,115.99999999999999,90,28.999999999999996,200.5,109.4,39.5,45.9,8,9.5
F,115.99999999999999,90,31,186,77,49.2,53,9,10.5
M,117,92,28.999999999999996,186.7,95.6,36.5,47,9,10.5
M,117,93,32,191.1,91.9,47.199999999999996,53,7,8.5
M,118,94,30,199.10000000000002,96.2,46.400000000000006,48,8,9.5
F,120,95,32,205.29999999999998,97,49.9,51.300000000000004,9,10.5
M,120,91,34,238.3,139.2,47.9,48,8,9.5
F,120,93,30,220.5,109.1,52.400000000000006,50,8,9.5
M,120,93,31,203.29999999999998,102.4,49.3,45,10,11.5
F,121,94,33,235.5,122.2,45.5,58.4,9,10.5
M,121,95,28.000000000000004,223.5,111.00000000000001,51.4,54.800000000000004,9,10.5
M,121,96,34,236.7,116.39999999999999,47.3,63.4,10,11.5
F,121,95,33,211.20000000000002,86.6,43.9,71.39999999999999,9,10.5
M,122,97,32,202.89999999999998,106.3,42.4,48.3,8,9.5
M,122,97,28.999999999999996,266.1,156.6,45.1,57.3,9,10.5
M,122,94,33,210.4,99.6,48.4,53.400000000000006,9,10.5
M,123,92,34,211.3,96.3,54.400000000000006,54,10,11.5
F,123,93,30,184.60000000000002,92.30000000000001,36.5,48.3,9,10.5
F,123,95,31,205.39999999999998,89.4,50,56.99999999999999,9,10.5
M,124,94,27,203.9,106.3,40.1,49.5,8,9.5
M,124,90,40,171.6,85.7,30.5,48.1,8,9.5
F,124,96,32,222.5,112.7,48.9,56.2,8,9.5
F,125,97,35,274.90000000000003,146.70000000000002,54.300000000000004,66.4,9,10.5
M,125,96,37,241.29999999999998,117.39999999999999,57.99999999999999,57.199999999999996,8,9.5
M,126,94,31,226.5,117.8,42.199999999999996,57.4,8,9.5
M,126,100,35,252.89999999999998,112.7,61.3,68.5,10,11.5
F,127,99,3,231.3,102.3,61.6,57.699999999999996,9,10.5
M,128,103,33,273.8,126.4,68.30000000000001,71.6,10,11.5
M,129,106,39,278,129.29999999999998,58.9,74.7,10,11.5
F,129,96,34,226.9,105.60000000000001,50.8,61,10,11.5
F,130,100,38,292.8,128.29999999999998,67.80000000000001,84.89999999999999,9,10.5
M,130,100,31,240.39999999999998,112.99999999999999,62.7,58.8,11,12.5
M,131,103,32,262,110.60000000000001,73.8,69,11,12.5
F,131,102,35,283,117.7,74.5,72.8,10,11.5
F,132,106,37,269.20000000000005,109.2,54.1,95.19999999999999,11,12.5
M,133,105,32,272.6,125.8,55.800000000000004,68,8,9.5
I,133,100,34,259.5,120.7,58.199999999999996,71.89999999999999,9,10.5
F,134,101,41,272.90000000000003,121.50000000000001,60.5,70.6,9,10.5
F,137,108,43,340.5,132.8,73.1,94.69999999999999,14,15.5
M,137,104,33,303.79999999999995,139.79999999999998,73.7,80,10,11.5
F,138,108,31,290.8,124.8,62.1,78,9,10.5
M,138,106,42,316.59999999999997,147.10000000000002,81,77.3,12,13.5
F,138,106,34,310.70000000000005,158.9,69.69999999999999,73.9,9,10.5
M,139,112.00000000000001,37,348,177,74.3,87.5,10,11.5
M,140,112.99999999999999,36,350.2,179,67.10000000000001,89.2,9,10.5
M,140,114.99999999999999,38,454.6,219,83.6,127.60000000000001,12,13.5
F,140,105,38,329.3,170.9,61.4,79.9,9,10.5
F,141,110.00000000000001,34,243.8,127.89999999999999,47.199999999999996,60.199999999999996,9,10.5
F,142,112.00000000000001,36,330.4,147,76.2,90.5,11,12.5
M,143,110.00000000000001,38,400.90000000000003,209.3,81.39999999999999,101.49999999999999,12,13.5
M,143,107,38,335.1,177.8,62.6,84,10,11.5
F,144,115.99999999999999,39,420.6,205.29999999999998,96,107.5,10,11.5
F,144,110.00000000000001,40,399.3,180.7,93.8,104.3,10,11.5
M,144,112.99999999999999,28.999999999999996,237.4,138.2,38.9,53.7,8,9.5
M,145,101,37,395.6,205.20000000000002,85.1,90.10000000000001,12,13.5
F,146,114.99999999999999,37,375.9,186.20000000000002,76,96.5,12,13.5
M,147,117,37,424.8,190.39999999999998,110.00000000000001,100,11,12.5
M,149,112.99999999999999,43,386.2,179.20000000000002,91.7,100,11,12.5
F,150,113.99999999999999,42,447.20000000000005,221.8,103.89999999999999,109.00000000000001,11,12.5
F,151,125,42,501,239.29999999999998,102.60000000000001,135.7,11,12.5
M,151,115.99999999999999,41,401.3,165.9,80.30000000000001,119,10,11.5
F,156,126,43,531.4,297.6,99.7,117.19999999999999,11,12.5
I,37,75,24,92.9,39.2,20.9,30,6,7.5
I,49,41,12,15.299999999999999,6.800000000000001,2.8000000000000003,4.3,4,5.5
I,50,37,13,13.700000000000001,5.8999999999999995,2.8000000000000003,4.5,5,6.5
I,50,38,13,16.7,7.8,3,5,5,6.5
I,55.00000000000001,39,18,22.5,10.9,5.8999999999999995,7.1,6,7.5
I,61,43,13,21.5,8.799999999999999,4.1000000000000005,7.6,5,6.5
I,62,45,14.000000000000002,21.099999999999998,87,3,8,5,6.5
I,63,46,16,27.500000000000004,10.9,6.2,8.9,5,6.5
I,63,46,14.000000000000002,22.900000000000002,9.2,4.7,7.7,5,6.5
I,65,45,15,27.800000000000004,11.3,6.4,18,6,7.5
I,66,50,19,41.699999999999996,20.4,7.9,10.4,7,8.5
I,66,41,19,31.900000000000002,15.4,6.4,8.7,5,6.5
I,67,49,18,40.300000000000004,19.2,8.1,9.6,7,8.5
I,68,50,18,35.8,15.5,6.6000000000000005,11,6,7.5
I,69,51,19,38.9,18.5,7.3999999999999995,11,6,7.5
I,69,51,17,40.1,21,7.3999999999999995,10,5,6.5
I,70,54,15,43,20,7.199999999999999,13,6,7.5
I,70,51,18,35.699999999999996,17.1,6.1,10.5,8,9.5
I,72,54,17,39.2,17.5,7.000000000000001,12.8,4,5.5
I,73,54,17,37.5,16.2,8.4,11.600000000000001,6,7.5
I,73,54,17,39.2,16.5,7.5,12,7,8.5
I,73,53,17,42.6,18.9,9.8,12,7,8.5
I,74,57.99999999999999,18,48.9,17.8,13.100000000000001,15,7,8.5
I,74,56.00000000000001,17,43.4,21.9,7.000000000000001,12.4,6,7.5
I,75,57.99999999999999,19,42.6,19.2,8.200000000000001,12.2,5,6.5
I,75,57.99999999999999,17,47.699999999999996,23.599999999999998,9,13.900000000000002,7,8.5
I,75,55.00000000000001,18,43.6,18.6,8.1,15.1,6,7.5
I,75,55.00000000000001,19,49.3,22,8.3,15.5,6,7.5
I,75,56.00000000000001,16,40.5,16.5,9.6,13,8,9.5
I,75,54,17,43.6,18.9,7.8,14.000000000000002,7,8.5
I,76,55.00000000000001,22,51.2,22,10.7,15.1,6,7.5
I,76,54,16,42.1,17.299999999999997,8.4,14.000000000000002,8,9.5
I,77,57.99999999999999,18,52.300000000000004,22.2,11.899999999999999,14.899999999999999,9,10.5
I,77,56.00000000000001,17,43.5,19.400000000000002,7.6,13.4,8,9.5
I,77,60,19,60.4,30.4,12.3,14.7,7,8.5
I,77,56.00000000000001,18,45.6,20.5,8.4,13.100000000000001,5,6.5
I,78,60,19,65.3,33.300000000000004,11.5,17.8,7,8.5
I,79,61,21,56.8,22.7,11.899999999999999,18.9,8,9.5
I,79,59,19,54.50000000000001,23,12.5,17,8,9.5
I,79,54,20,59.699999999999996,28.9,12.2,16.400000000000002,5,6.5
I,80,57.99999999999999,20,53.5,24.099999999999998,12.1,15.299999999999999,5,6.5
I,81,56.99999999999999,18,52.900000000000006,25.3,10.100000000000001,15,6,7.5
I,82,67,22,66,31.4,14.099999999999998,34,7,8.5
I,84,61,18,65.60000000000001,33.6,12.3,16.400000000000002,6,7.5
I,85,65,22,66.7,34.599999999999994,9,20,7,8.5
I,85,64,20,61.1,25.2,12,21.2,7,8.5
I,85,62,18,60.199999999999996,27.700000000000003,13,16,7,8.5
I,86,68,0,85.6,41.3,17.2,23,8,9.5
I,86,63,19,75.6,35,16,20.9,8,9.5
I,87,63,22,73.7,32.300000000000004,14.299999999999999,24,7,8.5
I,88,68,24,87.6,42.3,16.6,24,9,10.5
I,90,66,21,89.60000000000001,41.6,17.8,24,9,10.5
I,91,69,21,80.10000000000001,32.800000000000004,15.1,25.2,8,9.5
F,91,73,23,86.1,36.8,21.6,24.9,8,9.5
I,91,66,20,74.4,71.6,15.5,22,8,9.5
I,92,72,21,93.2,44.5,19.8,22,7,8.5
I,92,70,21,74.1,31.5,15.4,22.8,9,10.5
F,92,73,25,95.7,41.199999999999996,20.9,28.199999999999996,8,9.5
I,93,68,22,69.19999999999999,28.499999999999996,14.6,22.6,11,12.5
I,94,73,20,82.19999999999999,35,17.1,27,8,9.5
I,94,71,36,96,41.099999999999994,21,30.099999999999998,8,9.5
I,94,71,24,78.60000000000001,33.4,17.7,23,8,9.5
I,95,71,20,100.69999999999999,50.7,18.2,28.000000000000004,8,9.5
I,95,76,24,88.2,35.699999999999996,17.7,30.099999999999998,8,9.5
I,95,72,22,98.4,42.199999999999996,22,30,8,9.5
I,96,74,25,108.7,48.8,20.200000000000003,33,9,10.5
I,96,71,23,94.5,41.3,22.400000000000002,26.400000000000002,8,9.5
I,96,73,20,92.2,44.1,16.7,27,8,9.5
I,99,71,24,99.3,42.8,20.9,29.9,8,9.5
I,99,76,26,102.49999999999999,43.7,23.200000000000003,32,7,8.5
M,99,79,24,110.60000000000001,44.800000000000004,27.500000000000004,33.4,8,9.5
I,100,76,27,118.8,58.9,20.8,31.3,9,10.5
M,100,84,27,135.3,60.4,28.299999999999997,41.3,9,10.5
I,100,75,28.999999999999996,115.9,47.8,27.500000000000004,37,9,10.5
I,100,82,28.000000000000004,132.29999999999998,51.7,32.5,39.2,9,10.5
I,100,75,25,113.9,51.800000000000004,24.8,31.4,7,8.5
I,100,79,28.000000000000004,124.30000000000001,58.5,24.099999999999998,39,9,10.5
I,101,81,26,120.30000000000001,60.3,22,36,8,9.5
I,101,76,24,118.8,51.9,28.7,36,7,8.5
I,101,79,21,110.2,49.6,20.599999999999998,34.2,8,9.5
I,103,76,24,125,65.3,25.900000000000002,32,7,8.5
I,103,84,27,142.2,67.4,28.799999999999997,41,13,14.5
I,103,80,27,139.3,64,25.1,35,9,10.5
I,104,80,26,116.5,46.6,27.3,36,10,11.5
I,104,79,25,132.6,60.099999999999994,26.200000000000003,38.1,9,10.5
I,105,80,25,139.3,73.8,27.700000000000003,32.800000000000004,9,10.5
M,105,84,31,168.4,85.6,28.299999999999997,40.9,9,10.5
I,106,83,26,138.79999999999998,78.10000000000001,22.2,33.4,9,10.5
I,106,84,31,162,94.5,22.2,38.4,10,11.5
I,106,83,22,114.9,50.5,24.7,37.8,9,10.5
I,106,85,26,153.5,83.8,24.099999999999998,42,9,10.5
I,107,80,27,120.5,57.9,24.2,30.8,9,10.5
I,107,83,30,115.3,71.89999999999999,27,45,8,9.5
F,107,82,26,142.9,67,28.799999999999997,41.5,9,10.5
M,107,87,30,143.4,69.5,28.9,38.800000000000004,9,10.5
F,108,84,28.999999999999996,173.10000000000002,86.3,32.6,43.5,10,11.5
I,108,84,28.000000000000004,145.3,64.1,28.9,45.800000000000004,9,10.5
I,109.00000000000001,87,27,154.29999999999998,74.4,29.599999999999998,45.4,8,9.5
F,109.00000000000001,89,30,160,70.7,32.6,41.4,9,10.5
I,109.00000000000001,86,30,145.70000000000002,60.4,26.3,50.9,10,11.5
I,109.00000000000001,81,27,118.9,54,23.7,37,8,9.5
I,110.00000000000001,86,28.999999999999996,157.9,74.9,34.2,44.6,11,12.5
F,110.00000000000001,81,25,130.20000000000002,59.3,27.400000000000002,40,9,10.5
M,110.00000000000001,86,30,174.9,82.6,38.1,49.6,9,10.5
I,110.00000000000001,87,28.000000000000004,150.7,65.7,31.1,46.5,10,11.5
I,110.00000000000001,85,27,146.1,66.5,30.9,43,9,10.5
M,111.00000000000001,88,28.000000000000004,174.10000000000002,81.39999999999999,31.2,51,9,10.5
I,111.00000000000001,86,31,147.9,62.7,28.7,56.00000000000001,10,11.5
